Load	Tipo de Veículo	Tipo Transporte	 Valor do Frete 
884590	Truck	Convencional	   4.422,00 
219118	Truck	Convencional	   4.689,00 
887292	Truck	Convencional	   4.940,40 
634563	Truck	Convencional	   3.492,00 
791434	Truck	Convencional	   4.420,80 
315748	Truck	Convencional	   4.723,00 
494213	Truck	Convencional	   5.467,20 
218673	Truck	Convencional	   5.274,00 
373070	Truck	Convencional	   3.441,00 
503741	Truck	Convencional	   4.242,00 
303289	Truck	Convencional	   6.669,60 
177942	Truck	Convencional	   6.558,00 
393010	Truck	Convencional	   4.195,00 
357416	Truck	Convencional	   5.148,00 
640714	Truck	Convencional	   4.908,00 
805897	Truck	Convencional	   5.613,60 
638402	Truck	Convencional	   4.953,00 
495572	Truck	Convencional	   3.978,00 
856387	Truck	Convencional	   5.815,00 
673797	Truck	Convencional	   6.410,40 
914518	Truck	Convencional	   5.854,00 
113251	Truck	Convencional	   3.903,00 
610502	Truck	Convencional	   7.040,40 
464021	Truck	Convencional	   5.344,80 
121697	Truck	Convencional	   3.659,00 
957158	Truck	Convencional	   5.062,80 
171204	Truck	Convencional	   3.527,00 
847285	Truck	Convencional	   6.852,00 
133645	Truck	Convencional	   3.311,00 
381681	Truck	Convencional	   3.067,00 
602699	Truck	Convencional	   4.640,00 
650941	Truck	Convencional	   5.839,00 
150697	Truck	Convencional	   4.442,00 
490616	Truck	Convencional	   3.673,00 
191330	Truck	Convencional	   4.152,00 
178583	Truck	Convencional	   3.028,00 
222760	Truck	Convencional	   5.368,00 
348245	Truck	Convencional	   4.533,60 
924586	Truck	Convencional	   5.534,00 
824280	Truck	Convencional	   5.150,00 
213480	Truck	Convencional	   6.120,00 
726852	Truck	Convencional	   3.720,00 
697153	Truck	Convencional	   4.981,00 
517553	Truck	Convencional	   4.010,00 
418775	Truck	Convencional	   3.806,40 
713079	Truck	Convencional	   4.999,20 
253159	Truck	Convencional	   4.752,00 
658866	Truck	Convencional	   4.486,80 
279409	Truck	Convencional	   4.004,00 
867607	Truck	Convencional	   7.189,20 
379593	Truck	Convencional	   3.317,00 
451187	Truck	Convencional	   4.642,80 
771064	Truck	Convencional	   5.326,00 
265365	Truck	Convencional	   5.516,40 
394803	Truck	Convencional	   4.755,60 
107873	Truck	Convencional	   5.034,00 
353209	Truck	Convencional	   5.638,00 
273089	Truck	Convencional	   3.753,60 
789348	Truck	Convencional	   5.511,00 
981477	Truck	Convencional	   3.111,00 
538667	Truck	Convencional	   5.054,40 
476722	Truck	Convencional	   4.865,00 
438667	Truck	Convencional	   7.069,20 
847394	Truck	Convencional	   3.753,00 
536424	Truck	Convencional	   3.958,00 
479953	Truck	Convencional	   4.173,60 
944017	Truck	Convencional	   5.028,00 
202226	Truck	Convencional	   3.799,20 
730578	Truck	Convencional	   4.241,00 
382235	Truck	Convencional	   6.273,60 
675885	Truck	Convencional	   5.611,20 
872491	Truck	Convencional	   4.178,40 
908432	Truck	Convencional	   5.559,00 
925181	Truck	Convencional	   6.094,80 
797047	Truck	Convencional	   4.042,80 
381959	Truck	Convencional	   5.252,40 
730959	Truck	Convencional	   5.608,80 
508768	Truck	Convencional	   5.397,00 
213387	Truck	Convencional	   3.313,00 
512130	Truck	Convencional	   4.731,60 
167880	Truck	Convencional	   4.002,00 
944340	Truck	Convencional	   3.736,80 
326391	Truck	Convencional	   3.109,00 
206390	Truck	Convencional	   3.589,00 
327086	Truck	Convencional	   3.792,00 
729114	Truck	Convencional	   4.856,00 
432104	Truck	Convencional	   6.650,40 
685705	Truck	Convencional	   6.160,80 
924946	Truck	Convencional	   3.653,00 
171054	Truck	Convencional	   4.900,80 
492421	Truck	Convencional	   4.015,20 
162134	Truck	Convencional	   4.908,00 
821900	Truck	Convencional	   7.026,00 
516217	Truck	Convencional	   4.872,00 
790961	Truck	Convencional	   5.098,00 
776158	Truck	Convencional	   4.400,40 
371265	Truck	Convencional	   4.350,00 
804685	Truck	Convencional	   4.898,40 
741829	Truck	Convencional	   4.493,00 
356306	Truck	Convencional	   3.343,00 
106205	Truck	Convencional	   5.961,00 
926376	Truck	Convencional	   3.808,00 
386818	Truck	Convencional	   4.094,00 
157438	Truck	Convencional	   4.392,00 
803261	Truck	Convencional	   5.934,00 
668662	Truck	Convencional	   5.900,40 
727078	Truck	Convencional	   6.166,80 
243738	Truck	Convencional	   3.604,00 
978618	Truck	Convencional	   5.799,00 
654580	Truck	Convencional	   5.736,00 
981918	Truck	Convencional	   4.001,00 
618005	Truck	Convencional	   4.509,60 
881668	Truck	Convencional	   3.687,60 
373912	Truck	Convencional	   4.852,80 
378145	Truck	Convencional	   4.038,00 
961080	Truck	Convencional	   4.533,00 
213855	Truck	Convencional	   4.232,00 
288763	Truck	Convencional	   5.166,00 
918651	Truck	Convencional	   3.180,00 
756068	Truck	Convencional	   5.871,00 
570121	Truck	Convencional	   4.365,60 
934585	Truck	Convencional	   6.085,20 
602385	Truck	Convencional	   3.287,00 
985500	Truck	Convencional	   5.798,00 
254581	Truck	Convencional	   6.490,80 
984890	Truck	Convencional	   4.618,00 
394689	Truck	Convencional	   5.441,00 
593016	Truck	Convencional	   6.327,60 
855715	Truck	Convencional	   4.904,40 
280283	Truck	Convencional	   5.922,00 
149935	Truck	Convencional	   4.248,00 
971582	Truck	Convencional	   7.186,80 
331242	Truck	Convencional	   5.458,00 
193152	Truck	Convencional	   5.394,00 
942252	Truck	Convencional	   5.241,60 
394837	Truck	Convencional	   4.469,00 
834750	Truck	Convencional	   6.814,80 
566392	Truck	Convencional	   6.940,80 
196666	Truck	Convencional	   6.627,60 
393974	Truck	Convencional	   4.869,60 
308773	Truck	Convencional	   3.728,00 
246434	Truck	Convencional	   4.491,00 
332802	Truck	Convencional	   3.324,00 
808249	Truck	Convencional	   5.574,00 
589506	Truck	Convencional	   3.884,00 
475908	Truck	Convencional	   5.410,80 
116391	Truck	Convencional	   3.369,00 
830755	Truck	Convencional	   7.191,60 
830874	Truck	Convencional	   6.036,00 
361697	Truck	Convencional	   5.604,00 
719796	Truck	Convencional	   5.085,00 
744133	Truck	Convencional	   5.266,80 
579780	Truck	Convencional	   4.879,00 
705783	Truck	Convencional	   3.946,80 
752334	Truck	Convencional	   4.792,80 
604411	Truck	Convencional	   4.313,00 
772087	Truck	Convencional	   5.012,00 
138990	Truck	Convencional	   4.141,00 
168086	Truck	Convencional	   3.994,80 
269736	Truck	Convencional	   3.697,20 
256763	Truck	Convencional	   4.799,00 
762065	Truck	Convencional	   5.812,80 
856386	Truck	Convencional	   4.064,40 
861206	Truck	Convencional	   5.332,80 
604306	Truck	Convencional	   4.860,00 
949501	Truck	Convencional	   5.617,00 
236014	Truck	Convencional	   4.851,60 
320398	Truck	Convencional	   4.255,00 
368783	Truck	Convencional	   3.957,60 
810925	Truck	Convencional	   4.930,80 
984164	Truck	Convencional	   6.367,20 
411067	Truck	Convencional	   4.785,00 
644780	Truck	Convencional	   5.532,00 
346822	Truck	Convencional	   4.624,00 
459904	Truck	Convencional	   5.025,00 
220565	Truck	Convencional	   4.140,00 
263024	Truck	Convencional	   4.108,00 
401986	Truck	Convencional	   3.041,00 
475505	Truck	Convencional	   4.733,00 
649287	Truck	Convencional	   5.445,00 
561668	Truck	Convencional	   5.047,20 
192192	Truck	Convencional	   6.886,80 
692627	Truck	Convencional	   3.394,00 
322317	Truck	Convencional	   3.677,00 
447604	Truck	Convencional	   3.248,00 
442862	Truck	Convencional	   3.274,00 
109957	Truck	Convencional	   5.450,40 
458590	Truck	Convencional	   3.220,00 
967344	Truck	Convencional	   5.635,00 
113985	Truck	Convencional	   4.443,60 
729554	Truck	Convencional	   6.162,00 
681230	Truck	Convencional	   4.298,00 
993824	Truck	Convencional	   4.944,00 
624621	Truck	Convencional	   5.475,00 
956807	Truck	Convencional	   4.102,00 
332692	Truck	Convencional	   4.441,20 
452158	Truck	Convencional	   4.464,00 
694539	Truck	Convencional	   4.843,00 
608873	Truck	Convencional	   3.169,00 
283131	Truck	Convencional	   5.390,00 
642238	Truck	Convencional	   5.841,60 
450733	Truck	Convencional	   3.956,40 
226849	Truck	Convencional	   4.312,80 
310947	Truck	Convencional	   6.717,60 
303953	Truck	Convencional	   5.273,00 
695192	Truck	Convencional	   4.640,00 
524014	Truck	Convencional	   3.589,00 
328816	Truck	Convencional	   5.070,00 
928815	Truck	Convencional	   3.721,20 
463766	Truck	Convencional	   3.730,00 
961950	Truck	Convencional	   3.602,40 
703329	Truck	Convencional	   3.793,20 
140011	Truck	Convencional	   4.853,00 
529009	Truck	Convencional	   3.043,00 
393710	Truck	Convencional	   3.275,00 
222830	Truck	Convencional	   4.411,20 
537384	Truck	Convencional	   4.330,00 
113829	Truck	Convencional	   5.943,00 
430090	Truck	Convencional	   4.513,00 
945693	Truck	Convencional	   4.993,20 
217484	Truck	Convencional	   5.710,00 
307502	Truck	Convencional	   6.104,40 
839561	Truck	Convencional	   5.370,00 
399120	Truck	Convencional	   5.375,00 
106886	Truck	Convencional	   4.790,00 
637925	Truck	Convencional	   3.844,80 
547698	Truck	Convencional	   4.512,00 
441636	Truck	Convencional	   3.584,00 
543348	Truck	Convencional	   5.408,00 
166299	Truck	Convencional	   3.278,00 
273276	Truck	Convencional	   3.432,00 
821249	Truck	Convencional	   5.703,00 
622904	Truck	Convencional	   5.782,80 
335409	Truck	Convencional	   4.737,00 
395924	Truck	Convencional	   4.455,60 
570163	Truck	Convencional	   4.205,00 
295273	Truck	Convencional	   4.374,00 
546557	Truck	Convencional	   6.996,00 
482951	Truck	Convencional	   4.964,00 
245122	Truck	Convencional	   6.987,60 
441442	Truck	Convencional	   5.393,00 
157647	Truck	Convencional	   3.080,00 
367913	Truck	Convencional	   4.539,00 
103251	Truck	Convencional	   5.756,40 
569581	Truck	Convencional	   3.724,80 
952117	Truck	Convencional	   6.189,60 
156366	Truck	Convencional	   5.322,00 
312549	Truck	Convencional	   4.459,00 
771526	Truck	Convencional	   3.581,00 
646587	Truck	Convencional	   4.824,00 
394308	Truck	Convencional	   3.757,00 
508433	Truck	Convencional	   3.704,00 
807483	Truck	Convencional	   5.179,20 
499814	Truck	Convencional	   3.363,00 
795424	Truck	Convencional	   4.857,00 
389712	Truck	Convencional	   3.888,00 
155471	Truck	Convencional	   3.840,00 
954880	Truck	Convencional	   5.390,00 
964401	Truck	Convencional	   5.178,00 
306357	Truck	Convencional	   4.662,00 
446278	Truck	Convencional	   5.934,00 
568147	Truck	Convencional	   6.310,80 
307329	Truck	Convencional	   5.413,00 
467951	Truck	Convencional	   4.828,00 
310113	Truck	Convencional	   3.202,00 
568003	Truck	Convencional	   3.850,00 
989529	Truck	Convencional	   4.374,00 
387023	Truck	Convencional	   3.618,00 
364300	Truck	Convencional	   3.189,00 
709844	Truck	Convencional	   3.730,80 
573826	Truck	Convencional	   5.056,00 
166310	Truck	Convencional	   6.748,80 
356529	Truck	Convencional	   6.475,20 
701182	Truck	Convencional	   3.002,00 
436377	Truck	Convencional	   3.059,00 
330610	Truck	Convencional	   6.182,40 
400772	Truck	Convencional	   5.566,00 
409263	Truck	Convencional	   5.120,00 
989572	Truck	Convencional	   5.809,00 
681471	Truck	Convencional	   4.604,00 
387953	Truck	Convencional	   6.729,60 
874726	Truck	Convencional	   5.038,00 
545453	Truck	Convencional	   3.011,00 
729810	Truck	Convencional	   5.126,00 
121374	Truck	Convencional	   6.102,00 
889737	Truck	Convencional	   5.350,00 
636166	Truck	Convencional	   5.427,00 
450090	Truck	Convencional	   5.479,00 
817322	Truck	Convencional	   3.442,00 
575496	Truck	Convencional	   4.221,00 
971202	Truck	Convencional	   5.355,60 
605008	Truck	Convencional	   7.116,00 
826506	Truck	Convencional	   3.253,00 
781078	Truck	Convencional	   5.633,00 
181126	Truck	Convencional	   3.721,00 
588916	Truck	Convencional	   4.506,00 
569949	Truck	Convencional	   4.614,00 
775657	Truck	Convencional	   3.317,00 
809824	Truck	Convencional	   3.602,00 
769879	Truck	Convencional	   5.370,00 
939097	Truck	Convencional	   5.432,40 
521912	Truck	Convencional	   6.474,00 
518934	Truck	Convencional	   4.481,00 
186582	Truck	Convencional	   3.518,00 
160691	Truck	Convencional	   5.424,00 
686808	Truck	Convencional	   3.242,00 
709678	Truck	Convencional	   3.792,00 
333656	Truck	Convencional	   5.430,00 
796241	Truck	Convencional	   3.915,60 
167137	Truck	Convencional	   6.009,60 
507011	Truck	Convencional	   4.538,00 
356233	Truck	Convencional	   4.255,00 
705369	Truck	Convencional	   6.482,40 
898150	Truck	Convencional	   4.726,80 
725453	Truck	Convencional	   3.098,00 
224905	Truck	Convencional	   4.272,00 
242079	Truck	Convencional	   4.757,00 
660609	Truck	Convencional	   4.849,20 
792618	Truck	Convencional	   5.723,00 
510507	Truck	Convencional	   3.426,00 
538267	Truck	Convencional	   5.731,20 
910770	Truck	Convencional	   5.196,00 
143321	Truck	Convencional	   4.249,00 
610545	Truck	Convencional	   3.139,00 
414677	Truck	Convencional	   3.289,00 
266897	Truck	Convencional	   3.703,20 
593017	Truck	Convencional	   4.623,00 
720273	Truck	Convencional	   4.370,00 
109468	Truck	Convencional	   5.602,00 
491157	Truck	Convencional	   5.380,00 
740711	Truck	Convencional	   5.093,00 
166886	Truck	Convencional	   4.350,00 
687800	Truck	Convencional	   5.982,00 
465623	Truck	Convencional	   5.652,00 
249048	Truck	Convencional	   5.520,00 
307705	Truck	Convencional	   5.586,00 
470808	Truck	Convencional	   5.942,40 
462284	Truck	Convencional	   6.850,80 
358586	Truck	Convencional	   5.800,00 
505510	Truck	Convencional	   4.282,80 
409787	Truck	Convencional	   4.437,00 
794321	Truck	Convencional	   4.271,00 
272935	Truck	Convencional	   4.353,00 
602173	Truck	Convencional	   3.627,60 
711573	Truck	Convencional	   7.165,20 
643435	Truck	Convencional	   4.023,60 
980329	Truck	Convencional	   3.610,80 
933240	Truck	Convencional	   3.304,00 
751674	Truck	Convencional	   5.717,00 
307186	Truck	Convencional	   3.529,00 
274120	Truck	Convencional	   3.255,00 
765542	Truck	Convencional	   5.465,00 
434378	Truck	Convencional	   3.632,40 
298885	Truck	Convencional	   6.510,00 
711263	Truck	Convencional	   5.276,00 
566905	Truck	Convencional	   4.292,00 
444894	Truck	Convencional	   3.105,00 
355508	Truck	Convencional	   6.690,00 
490581	Truck	Convencional	   3.593,00 
711958	Truck	Convencional	   5.857,00 
682279	Truck	Convencional	   4.399,20 
667830	Truck	Convencional	   4.174,80 
939929	Truck	Convencional	   4.954,00 
505794	Truck	Convencional	   3.644,40 
610222	Truck	Convencional	   4.369,00 
880363	Truck	Convencional	   3.381,00 
189523	Truck	Convencional	   5.654,00 
489475	Truck	Convencional	   4.659,00 
411083	Truck	Convencional	   3.032,00 
885614	Truck	Convencional	   4.746,00 
378552	Truck	Convencional	   4.476,00 
743402	Truck	Convencional	   6.543,60 
439105	Truck	Convencional	   3.622,80 
859107	Truck	Convencional	   4.443,00 
150576	Truck	Convencional	   3.789,00 
287604	Truck	Convencional	   3.553,00 
154191	Truck	Convencional	   3.800,00 
419355	Truck	Convencional	   4.244,40 
632632	Truck	Convencional	   5.321,00 
939642	Truck	Convencional	   4.285,20 
700243	Truck	Convencional	   4.310,00 
570442	Truck	Convencional	   6.160,80 
801211	Truck	Convencional	   3.465,00 
571487	Truck	Convencional	   5.558,40 
703440	Truck	Convencional	   4.759,00 
427176	Truck	Convencional	   5.052,00 
214548	Truck	Convencional	   4.907,00 
405994	Truck	Convencional	   6.295,20 
451467	Truck	Convencional	   4.432,80 
183245	Truck	Convencional	   4.019,00 
950681	Truck	Convencional	   6.931,20 
739947	Truck	Convencional	   4.089,60 
375475	Truck	Convencional	   5.874,00 
415618	Truck	Convencional	   3.511,00 
197912	Truck	Convencional	   4.386,00 
627191	Truck	Convencional	   3.884,00 
973163	Truck	Convencional	   6.849,60 
151399	Truck	Convencional	   5.154,00 
679227	Truck	Convencional	   3.147,00 
414187	Truck	Convencional	   5.677,00 
267154	Truck	Convencional	   5.111,00 
351255	Truck	Convencional	   5.676,00 
174184	Truck	Convencional	   5.116,00 
165276	Truck	Convencional	   5.830,80 
262653	Truck	Convencional	   5.509,20 
654790	Truck	Convencional	   4.962,00 
182023	Truck	Convencional	   5.523,60 
983781	Truck	Convencional	   4.454,00 
756282	Truck	Convencional	   5.393,00 
527866	Truck	Convencional	   5.111,00 
699740	Truck	Convencional	   3.630,00 
362891	Truck	Convencional	   3.980,00 
765489	Truck	Convencional	   5.456,00 
758241	Truck	Convencional	   5.376,00 
298100	Truck	Convencional	   5.370,00 
739378	Truck	Convencional	   4.648,80 
193742	Truck	Convencional	   5.992,80 
350282	Truck	Convencional	   4.716,00 
132202	Truck	Convencional	   3.664,80 
403248	Truck	Convencional	   5.152,00 
439571	Truck	Convencional	   4.303,00 
173341	Truck	Convencional	   4.778,40 
150554	Truck	Convencional	   3.528,00 
874875	Truck	Convencional	   3.532,00 
302855	Truck	Convencional	   6.109,20 
408401	Truck	Convencional	   3.664,00 
318747	Truck	Convencional	   5.392,00 
299946	Truck	Convencional	   5.509,20 
